BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2017,1,4,4,1,3,4,10.7,1,176.16
1,2017,1,4,4,2,3,4,10.7,1,170.88
1,2017,1,4,4,3,3,4,10.7,1,173.28
1,2017,1,4,5,0,3,4,10.7,1,180.96
1,2017,1,4,5,1,3,4,10.7,1,190.08
1,2017,1,4,5,2,3,4,10.7,1,192.96
1,2017,1,4,5,3,3,4,10.7,1,194.4
1,2017,1,4,6,0,3,4,10.7,1,194.4
1,2017,1,4,6,1,3,4,10.7,1,196.8
1,2017,1,4,6,2,3,4,10.7,1,204.48
1,2017,1,4,6,3,3,4,10.7,1,204.96
1,2017,1,4,7,0,3,4,10.7,1,211.68
1,2017,1,4,7,1,3,4,10.7,1,281.76
1,2017,1,4,7,2,3,4,10.7,1,331.2
1,2017,1,4,7,3,3,4,10.7,1,473.76
1,2017,1,4,8,0,3,4,10.7,1,617.28
1,2017,1,4,8,1,3,4,10.7,1,625.92
1,2017,1,4,8,2,3,4,10.7,1,636.48
1,2017,1,4,8,3,3,4,10.7,1,677.76
1,2017,1,4,9,0,3,4,10.7,1,675.84
1,2017,1,4,9,1,3,4,10.7,1,718.56
1,2017,1,4,9,2,3,4,10.7,1,744.0
1,2017,1,4,9,3,3,4,10.7,1,678.24
1,2017,1,4,10,0,3,4,10.7,1,675.36
1,2017,1,4,10,1,3,4,10.7,1,677.76
1,2017,1,4,10,2,3,4,10.7,1,654.24
1,2017,1,4,10,3,3,4,10.7,1,612.96
1,2017,1,4,11,0,3,4,10.7,1,599.52
1,2017,1,4,11,1,3,4,10.7,1,581.28
1,2017,1,4,11,2,3,4,10.7,1,590.88
1,2017,1,4,11,3,3,4,10.7,1,575.04
1,2017,1,4,12,0,3,4,10.7,1,572.64
1,2017,1,4,12,1,3,4,10.7,1,505.44
1,2017,1,4,12,2,3,4,10.7,1,505.44
1,2017,1,4,12,3,3,4,10.7,1,504.48
1,2017,1,4,13,0,3,4,10.7,1,505.92
